LineNumber,OrderId,InitialId,ParentId,Side,Product,DeliveryStart,DeliveryEnd,CreationTime,DeliveryArea,ExecutionRestriction,UserDefinedBlock,LinkedBasketId,RevisionNo,ActionCode,TransactionTime,ValidityTime,Price,Currency,Quantity,QuantityUnit,Volume,VolumeUnit
11,11591798689,11591798689,0.0,SELL,XBID_Hour_Power,2021-06-26 02:00:00+00:00,2021-06-26 03:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,2.0,MAW,2.0,MWH
12,11591798690,11591798690,0.0,SELL,XBID_Hour_Power,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,2.0,MAW,2.0,MWH
13,11591798691,11591798691,0.0,SELL,XBID_Hour_Power,2021-06-26 10:00:00+00:00,2021-06-26 11:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
14,11591798692,11591798692,0.0,SELL,XBID_Hour_Power,2021-06-26 06:00:00+00:00,2021-06-26 07:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
15,11591798721,11591798721,0.0,SELL,XBID_Hour_Power,2021-06-26 04:00:00+00:00,2021-06-26 05:00:00+00:00,2021-06-25 13:00:16.252000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:16.252000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
16,11591798722,11591798722,0.0,SELL,XBID_Hour_Power,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,2021-06-25 13:00:16.252000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:16.252000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
17,11591798901,11591798901,0.0,SELL,XBID_Hour_Power,2021-06-26 12:00:00+00:00,2021-06-26 13:00:00+00:00,2021-06-25 13:00:17.065000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:17.065000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
18,11591798902,11591798902,0.0,SELL,XBID_Hour_Power,2021-06-26 11:00:00+00:00,2021-06-26 12:00:00+00:00,2021-06-25 13:00:17.065000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:17.065000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
19,11591799558,11591799558,0.0,SELL,XBID_Hour_Power,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,2021-06-25 13:00:20.918000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.918000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
20,11591799561,11591799561,0.0,BUY,XBID_Hour_Power,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
21,11591799562,11591799562,0.0,SELL,XBID_Hour_Power,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,4.0,MAW,4.0,MWH
22,11591799563,11591799563,0.0,BUY,XBID_Hour_Power,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
23,11591799564,11591799564,0.0,SELL,XBID_Hour_Power,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,4.0,MAW,4.0,MWH
24,11591799565,11591799565,0.0,BUY,XBID_Hour_Power,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
25,11591799566,11591799566,0.0,SELL,XBID_Hour_Power,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,2.0,MAW,2.0,MWH
26,11591799567,11591799567,0.0,BUY,XBID_Hour_Power,2021-06-26 02:00:00+00:00,2021-06-26 03:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
27,11591799568,11591799568,0.0,SELL,XBID_Hour_Power,2021-06-26 02:00:00+00:00,2021-06-26 03:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,2.0,MAW,2.0,MWH
28,11591799569,11591799569,0.0,BUY,XBID_Hour_Power,2021-06-26 04:00:00+00:00,2021-06-26 05:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
29,11591799570,11591799570,0.0,SELL,XBID_Hour_Power,2021-06-26 04:00:00+00:00,2021-06-26 05:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
30,11591799571,11591799571,0.0,BUY,XBID_Hour_Power,2021-06-26 06:00:00+00:00,2021-06-26 07:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
31,11591799572,11591799572,0.0,SELL,XBID_Hour_Power,2021-06-26 06:00:00+00:00,2021-06-26 07:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
32,11591799573,11591799573,0.0,BUY,XBID_Hour_Power,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
33,11591799574,11591799574,0.0,SELL,XBID_Hour_Power,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
34,11591799575,11591799575,0.0,BUY,XBID_Hour_Power,2021-06-26 09:00:00+00:00,2021-06-26 10:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
35,11591799576,11591799576,0.0,SELL,XBID_Hour_Power,2021-06-26 09:00:00+00:00,2021-06-26 10:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
36,11591799577,11591799577,0.0,BUY,XBID_Hour_Power,2021-06-26 10:00:00+00:00,2021-06-26 11:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
37,11591799578,11591799578,0.0,SELL,XBID_Hour_Power,2021-06-26 10:00:00+00:00,2021-06-26 11:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
38,11591799579,11591799579,0.0,BUY,XBID_Hour_Power,2021-06-26 11:00:00+00:00,2021-06-26 12:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
39,11591799580,11591799580,0.0,SELL,XBID_Hour_Power,2021-06-26 11:00:00+00:00,2021-06-26 12:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
40,11591799581,11591799581,0.0,BUY,XBID_Hour_Power,2021-06-26 12:00:00+00:00,2021-06-26 13:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
41,11591799582,11591799582,0.0,SELL,XBID_Hour_Power,2021-06-26 12:00:00+00:00,2021-06-26 13:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
42,11591799583,11591799583,0.0,BUY,XBID_Hour_Power,2021-06-26 13:00:00+00:00,2021-06-26 14:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
43,11591799584,11591799584,0.0,SELL,XBID_Hour_Power,2021-06-26 13:00:00+00:00,2021-06-26 14:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
44,11591799585,11591799585,0.0,BUY,XBID_Hour_Power,2021-06-26 14:00:00+00:00,2021-06-26 15:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
45,11591799586,11591799586,0.0,SELL,XBID_Hour_Power,2021-06-26 14:00:00+00:00,2021-06-26 15:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
46,11591799587,11591799587,0.0,BUY,XBID_Hour_Power,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
47,11591799588,11591799588,0.0,SELL,XBID_Hour_Power,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,1.0,MAW,1.0,MWH
48,11591799589,11591799589,0.0,BUY,XBID_Hour_Power,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
49,11591799590,11591799590,0.0,SELL,XBID_Hour_Power,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,2.0,MAW,2.0,MWH
50,11591799591,11591799591,0.0,BUY,XBID_Hour_Power,2021-06-26 17:00:00+00:00,2021-06-26 18:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
51,11591799592,11591799592,0.0,SELL,XBID_Hour_Power,2021-06-26 17:00:00+00:00,2021-06-26 18:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,2.0,MAW,2.0,MWH
52,11591799593,11591799593,0.0,BUY,XBID_Hour_Power,2021-06-26 19:00:00+00:00,2021-06-26 20:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
53,11591799594,11591799594,0.0,SELL,XBID_Hour_Power,2021-06-26 19:00:00+00:00,2021-06-26 20:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,4.0,MAW,4.0,MWH
54,11591799595,11591799595,0.0,BUY,XBID_Hour_Power,2021-06-26 20:00:00+00:00,2021-06-26 21:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,-222.0,EUR,1.0,MAW,1.0,MWH
55,11591799596,11591799596,0.0,SELL,XBID_Hour_Power,2021-06-26 20:00:00+00:00,2021-06-26 21:00:00+00:00,2021-06-25 13:00:20.944000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:20.944000+00:00,0.0,499.99,EUR,4.0,MAW,4.0,MWH
56,11591799774,11591799774,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 15:15:00+00:00,2021-06-26 15:30:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
57,11591799775,11591799775,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 15:30:00+00:00,2021-06-26 15:45:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
58,11591799776,11591799776,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 15:45:00+00:00,2021-06-26 16:00:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
59,11591799778,11591799778,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 11:00:00+00:00,2021-06-26 11:15:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,0.8,MAW,0.2,MWH
60,11591799779,11591799779,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 11:15:00+00:00,2021-06-26 11:30:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,0.4,MAW,0.1,MWH
61,11591799780,11591799780,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 11:45:00+00:00,2021-06-26 12:00:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,0.7,MAW,0.175,MWH
62,11591799781,11591799781,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 10:00:00+00:00,2021-06-26 10:15:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,0.9,MAW,0.225,MWH
63,11591799782,11591799782,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 10:15:00+00:00,2021-06-26 10:30:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,0.9,MAW,0.225,MWH
64,11591799783,11591799783,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 10:30:00+00:00,2021-06-26 10:45:00+00:00,2021-06-25 13:00:22.392000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.392000+00:00,0.0,500.0,EUR,0.8,MAW,0.2,MWH
65,11591799813,11591799813,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 07:15:00+00:00,2021-06-26 07:30:00+00:00,2021-06-25 13:00:22.850000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.850000+00:00,0.0,500.0,EUR,0.3,MAW,0.075,MWH
66,11591799814,11591799814,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 07:30:00+00:00,2021-06-26 07:45:00+00:00,2021-06-25 13:00:22.850000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.850000+00:00,0.0,500.0,EUR,0.6,MAW,0.15,MWH
67,11591799815,11591799815,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 07:45:00+00:00,2021-06-26 08:00:00+00:00,2021-06-25 13:00:22.850000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.850000+00:00,0.0,500.0,EUR,0.8,MAW,0.2,MWH
68,11591799818,11591799818,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 01:00:00+00:00,2021-06-26 01:15:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
69,11591799819,11591799819,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 01:15:00+00:00,2021-06-26 01:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
70,11591799820,11591799820,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 01:30:00+00:00,2021-06-26 01:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
71,11591799821,11591799821,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 02:00:00+00:00,2021-06-26 02:15:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
72,11591799822,11591799822,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 02:15:00+00:00,2021-06-26 02:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
73,11591799823,11591799823,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 02:30:00+00:00,2021-06-26 02:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
74,11591799824,11591799824,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 16:15:00+00:00,2021-06-26 16:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
75,11591799825,11591799825,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 16:30:00+00:00,2021-06-26 16:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
76,11591799826,11591799826,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 16:45:00+00:00,2021-06-26 17:00:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
77,11591799827,11591799827,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 00:00:00+00:00,2021-06-26 00:15:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
78,11591799828,11591799828,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 00:15:00+00:00,2021-06-26 00:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
79,11591799829,11591799829,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 00:30:00+00:00,2021-06-26 00:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
80,11591799830,11591799830,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-25 22:00:00+00:00,2021-06-25 22:15:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
81,11591799831,11591799831,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-25 22:15:00+00:00,2021-06-25 22:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,0.9,MAW,0.225,MWH
82,11591799832,11591799832,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-25 22:30:00+00:00,2021-06-25 22:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,0.4,MAW,0.1,MWH
83,11591799833,11591799833,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 14:15:00+00:00,2021-06-26 14:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,0.6,MAW,0.15,MWH
84,11591799834,11591799834,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 14:30:00+00:00,2021-06-26 14:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
85,11591799835,11591799835,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 14:45:00+00:00,2021-06-26 15:00:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
86,11591799836,11591799836,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 19:15:00+00:00,2021-06-26 19:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
87,11591799837,11591799837,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 19:30:00+00:00,2021-06-26 19:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
88,11591799838,11591799838,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 19:45:00+00:00,2021-06-26 20:00:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,1.0,MAW,0.25,MWH
89,11591799839,11591799839,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 06:15:00+00:00,2021-06-26 06:30:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,0.2,MAW,0.05,MWH
90,11591799840,11591799840,0.0,SELL,Intraday_Quarter_Hour_Power,2021-06-26 06:30:00+00:00,2021-06-26 06:45:00+00:00,2021-06-25 13:00:22.871000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:22.871000+00:00,0.0,500.0,EUR,0.5,MAW,0.125,MWH
