,OrderId,TransactionTime,ActionCode,Side,DeliveryStart,DeliveryEnd,Price,Volume,Comments
21,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
22,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
23,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,3.9,
24,11592152190,2021-06-25 16:00:38.513000+00:00,M,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
25,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,0.10000000000000142,
26,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
27,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
28,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
29,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
30,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
31,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
32,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,4.999999999999998,
33,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
34,11592154686,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
35,11592154686,2021-06-25 16:00:38.513000+00:00,M,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,4.9,
36,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.1,
37,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,0.9000000000000004,
38,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.1,
39,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.9,
40,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,3.1,
41,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,2.9,
42,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,2.1,
43,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,3.9,
44,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.1,
45,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.9,
46,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,0.1,
47,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,5.0,
48,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,0.9000000000000004,
49,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.1,
50,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.9,
51,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,3.1,
52,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,2.9,
53,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,2.1,
54,11592152133,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,3.9,
55,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,0.10000000000000142,
56,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
57,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
58,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
59,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
60,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
61,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
62,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,4.999999999999998,
63,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
64,11592156855,2021-06-25 16:01:38.875000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
65,11592156855,2021-06-25 16:01:38.875000+00:00,M,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,4.9,
66,11592056225,2021-06-25 16:02:11.329000+00:00,P,SELL,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,81.52,1.3,
67,11592056225,2021-06-25 16:02:11.329000+00:00,M,SELL,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,81.52,0.7,
68,11592157996,2021-06-25 16:02:15.206000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,83.8,0.09999999999999998,
69,11592153365,2021-06-25 16:02:36.200000+00:00,P,BUY,2021-06-26 06:00:00+00:00,2021-06-26 07:00:00+00:00,84.9,0.09999999999999998,
70,11592161629,2021-06-25 16:04:20.070000+00:00,M,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,85.37,3.0,
71,11592163108,2021-06-25 16:05:30.652000+00:00,P,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,83.43,1.0,
72,11592163108,2021-06-25 16:05:30.777000+00:00,P,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,83.43,1.0,
73,11592163108,2021-06-25 16:05:30.900000+00:00,M,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,83.43,1.0,
74,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
75,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
76,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
77,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
78,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
79,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
80,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
81,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
82,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
83,11592162079,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
84,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
85,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
86,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
87,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
88,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
89,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
90,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
91,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
92,11592166747,2021-06-25 16:06:59.914000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
93,11592166747,2021-06-25 16:06:59.914000+00:00,M,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
94,11592168405,2021-06-25 16:07:40.104000+00:00,M,BUY,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.7,3.0,
95,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
96,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
97,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
98,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
99,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
100,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
101,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
102,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
103,11592162079,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
104,11592162079,2021-06-25 16:08:11.368000+00:00,M,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,73.0,5.0,
105,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
106,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
107,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
108,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
109,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
110,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
111,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
112,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
113,11592169461,2021-06-25 16:08:11.368000+00:00,P,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
114,11592169461,2021-06-25 16:08:11.368000+00:00,M,BUY,2021-06-26 16:00:00+00:00,2021-06-26 17:00:00+00:00,88.5,5.0,
115,11592172367,2021-06-25 16:09:50.904000+00:00,M,SELL,2021-06-26 04:00:00+00:00,2021-06-26 05:00:00+00:00,69.94,1.9,
0,11592175173,2021-06-25 16:12:10.393000+00:00,P,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.97,0.10000000000000009,
1,11592175173,2021-06-25 16:12:10.393000+00:00,P,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.97,0.09999999999999964,
2,11592175173,2021-06-25 16:12:10.393000+00:00,P,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.97,0.10000000000000009,
3,11592175173,2021-06-25 16:12:10.393000+00:00,P,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.97,1.4000000000000001,
4,11592175173,2021-06-25 16:12:10.393000+00:00,M,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.97,0.7,
5,11592176631,2021-06-25 16:13:18.442000+00:00,M,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.97,2.1,
6,11592176658,2021-06-25 16:13:19.187000+00:00,P,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.0,0.09999999999999964,
7,11592176658,2021-06-25 16:13:19.187000+00:00,P,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.0,0.10000000000000053,
8,11592176658,2021-06-25 16:13:19.187000+00:00,P,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.0,0.09999999999999964,
9,11592176658,2021-06-25 16:13:19.187000+00:00,P,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.0,2.4000000000000004,
10,11592176658,2021-06-25 16:13:19.187000+00:00,M,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.0,1.8,
11,11592178424,2021-06-25 16:14:26.556000+00:00,M,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.0,2.3,
12,11592178443,2021-06-25 16:14:27.279000+00:00,P,SELL,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,82.27,0.09999999999999964,
13,11592178443,2021-06-25 16:14:27.279000+00:00,P,SELL,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,82.27,1.5000000000000002,
14,11592178443,2021-06-25 16:14:27.279000+00:00,M,SELL,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,82.27,0.7,
15,11592178486,2021-06-25 16:14:28.025000+00:00,M,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,81.03,2.3,
16,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
17,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
18,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
19,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
20,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
21,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
22,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
23,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
24,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
25,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
26,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
27,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
28,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
29,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
30,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
31,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
32,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
33,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
34,11592181623,2021-06-25 16:16:10.557000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
35,11592181623,2021-06-25 16:16:10.557000+00:00,M,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.0,5.0,
36,11592181759,2021-06-25 16:16:15.175000+00:00,P,BUY,2021-06-26 07:00:00+00:00,2021-06-26 08:00:00+00:00,84.4,0.19999999999999996,
37,11592183681,2021-06-25 16:17:08.778000+00:00,P,BUY,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,76.5,5.0,
38,11592183681,2021-06-25 16:17:08.778000+00:00,P,BUY,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,76.5,5.0,
39,11592183681,2021-06-25 16:17:08.778000+00:00,P,BUY,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,76.5,5.0,
40,11592183681,2021-06-25 16:17:08.778000+00:00,P,BUY,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,76.5,5.0,
41,11592183681,2021-06-25 16:17:08.778000+00:00,P,BUY,2021-06-26 08:00:00+00:00,2021-06-26 09:00:00+00:00,76.5,5.0,
